# HJD mag err
2457646.293450 19.653 0.124
2457646.328850 19.623 0.154
2457647.292080 19.629 0.168
2457647.327150 19.604 0.183
2457649.232910 19.835 0.224
2457649.273630 20.064 0.261
2457650.265270 19.691 0.166
2457650.268170 20.141 0.283
2457650.303860 19.341 0.112
2457650.338570 19.820 0.220
2457651.255750 19.587 0.101
2457651.291630 19.529 0.094
2457651.334240 19.524 0.122
2457652.268360 19.656 0.111
2457652.305480 19.789 0.131
2457652.343920 19.564 0.133
2457653.266910 19.455 0.091
2457653.307550 19.545 0.127
2457654.234840 19.564 0.151
2457654.271700 19.913 0.218
2457655.234970 19.489 0.113
2457655.272390 19.656 0.136
2457655.321320 19.557 0.108
2457657.253370 19.509 0.084
2457657.300580 19.649 0.161
2457660.252000 19.539 0.108
2457660.290720 19.533 0.107
2457660.326090 19.465 0.120
2457662.261290 19.545 0.093
2457662.304280 19.822 0.149
2457663.261910 19.376 0.133
2457663.298130 19.866 0.190
2457664.248170 20.002 0.236
2457664.293750 19.436 0.140
2457665.256230 19.445 0.111
2457665.290450 19.387 0.129
2457666.253210 19.645 0.121
2457666.289290 19.700 0.169
2457667.272710 19.482 0.154
2457667.308890 19.976 0.216
2457671.250560 19.497 0.105
2457671.288000 19.824 0.191
2457672.279780 19.464 0.155
2457672.282740 19.698 0.185
2457674.262840 19.369 0.150
2457676.244610 19.427 0.282
